,Transaction ID,Sender Address,Receiver Address,Amount Transferred,Timestamp,Transaction Type,Fraudulent Label,Suspicious Transaction Flags,Block Hash,Block Number,Mining Pool Information,Account Creation Date,Account Activity Level,Account Age,Account Balance,Account Reputation Score,Transaction Volume,Transaction Frequency,Number of Distinct Counterparties,Time Between Transactions,Number of Transactions per Day,Pattern Consistency,Shared IP Address,Device Information,Account Linking,Geographical Location,Device Fingerprinting
10,TX000011,ACC000110,ACC000332,49.57,2025-02-27 08:23:59.344721,Smart Contract Interaction,1,0,BLOCK000011,585363,PoolB,2024-07-27 19:16:59.359776,Medium,237,1027.44,25,3481.56,89,4,22.101737197223194,2,1,233.241.83.191,DeviceA,1,Oceania,Fingerprint_109
11,TX000012,ACC000253,ACC000321,97.23,2025-02-27 10:21:59.344721,Regular Transfer,0,1,BLOCK000012,288274,PoolB,2024-06-05 19:16:59.359776,Low,64,9622.43,25,8733.94,12,19,14.565591297102564,6,0,238.181.207.128,DeviceC,1,Oceania,Fingerprint_252
12,TX000013,ACC000014,ACC000299,94.16,2025-02-27 15:41:59.344721,Smart Contract Interaction,1,1,BLOCK000013,924366,PoolB,2024-02-29 19:16:59.358697,Low,265,7931.53,19,4459.06,2,40,11.539566477250247,10,1,180.209.238.236,DeviceB,1,EU,Fingerprint_13
13,TX000014,ACC000100,ACC000011,67.14,2025-02-27 16:44:59.344721,Smart Contract Interaction,0,0,BLOCK000014,291059,PoolA,2024-09-12 19:16:59.359776,High,80,7746.13,73,2374.66,28,22,22.5356690657777,5,1,139.138.11.245,DeviceD,0,EU,Fingerprint_99
14,TX000015,ACC000325,ACC000394,78.58,2025-02-27 07:35:59.344721,Smart Contract Interaction,0,0,BLOCK000015,983855,PoolA,2024-07-08 19:16:59.359776,Low,115,8341.72,63,8768.66,27,9,10.233719574056343,10,1,17.186.80.200,DeviceD,0,EU,Fingerprint_324
15,TX000016,ACC000273,ACC000122,31.88,2025-02-27 13:27:59.344721,Regular Transfer,1,0,BLOCK000016,512045,PoolA,2024-05-22 19:16:59.359776,Medium,305,7549.92,17,6347.16,59,10,8.389144024040602,10,1,171.235.177.167,DeviceA,1,Oceania,Fingerprint_272
16,TX000017,ACC000111,ACC000063,41.64,2025-02-27 06:27:59.344721,Smart Contract Interaction,1,1,BLOCK000017,147457,PoolC,2024-08-11 19:16:59.359776,Low,343,2240.14,94,1267.84,33,30,21.84124225208217,5,1,190.74.164.177,DeviceD,1,US,Fingerprint_110
17,TX000018,ACC000295,ACC000283,14.93,2025-02-27 13:46:59.344721,Regular Transfer,1,1,BLOCK000018,187336,PoolA,2024-12-04 19:16:59.359776,High,54,1479.0,5,1844.32,53,48,13.392616028459502,6,0,41.124.83.246,DeviceD,1,Oceania,Fingerprint_294
18,TX000019,ACC000405,ACC000035,37.65,2025-02-27 16:42:59.344721,Smart Contract Interaction,0,0,BLOCK000019,536471,PoolC,2024-09-07 19:16:59.359776,Medium,123,1405.86,69,9519.43,39,2,17.12792048560369,9,0,23.36.202.68,DeviceA,0,Oceania,Fingerprint_404
19,TX000020,ACC000004,ACC000383,75.44,2025-02-27 00:35:59.344721,Regular Transfer,0,1,BLOCK000020,838594,PoolD,2024-10-28 19:16:59.358697,High,41,8090.12,64,2669.45,60,15,19.207226459466114,4,1,151.211.146.111,DeviceD,1,EU,Fingerprint_3
20,TX000021,ACC000403,ACC000104,47.36,2025-02-27 16:05:59.344721,Regular Transfer,1,0,BLOCK000021,412106,PoolB,2024-09-13 19:16:59.359776,Medium,184,7667.7,39,9932.22,87,47,15.996042265862018,3,0,65.94.61.127,DeviceC,0,Africa,Fingerprint_402
21,TX000022,ACC000350,ACC000108,84.94,2025-02-27 07:43:59.344721,Regular Transfer,1,1,BLOCK000022,429196,PoolA,2024-09-24 19:16:59.359776,Medium,285,8341.1,79,3801.41,85,21,3.928441468043279,8,0,199.168.90.102,DeviceD,1,Africa,Fingerprint_349
22,TX000023,ACC000171,ACC000435,30.08,2025-02-26 22:59:59.344721,Regular Transfer,0,1,BLOCK000023,715732,PoolA,2024-09-04 19:16:59.359776,Low,153,5139.27,28,578.05,59,5,6.331464409112767,10,0,74.65.74.34,DeviceD,1,EU,Fingerprint_170
23,TX000024,ACC000078,ACC000165,70.76,2025-02-26 22:19:59.344721,Regular Transfer,1,0,BLOCK000024,859268,PoolA,2024-10-16 19:16:59.358697,Low,67,5911.71,8,5251.33,86,41,1.2806180888375192,9,1,81.103.131.171,DeviceB,1,US,Fingerprint_77
24,TX000025,ACC000479,ACC000074,80.58,2025-02-27 02:47:59.344721,Regular Transfer,0,1,BLOCK000025,577100,PoolB,2024-03-12 19:16:59.359776,Medium,275,5887.64,22,8047.86,32,46,19.525292066280915,5,0,15.42.165.84,DeviceD,0,Oceania,Fingerprint_478
25,TX000026,ACC000169,ACC000451,91.47,2025-02-27 18:12:59.344721,Regular Transfer,1,0,BLOCK000026,894143,PoolC,2024-06-03 19:16:59.359776,Low,208,8139.95,42,2399.41,78,30,5.4526966058627595,8,0,243.244.245.109,DeviceC,1,EU,Fingerprint_168
26,TX000027,ACC000047,ACC000002,56.24,2025-02-27 04:32:59.344721,Smart Contract Interaction,1,1,BLOCK000027,802818,PoolA,2025-01-06 19:16:59.358697,High,233,1450.4,41,3746.19,99,34,1.2775344771644987,9,0,99.144.127.192,DeviceB,0,Oceania,Fingerprint_46
27,TX000028,ACC000049,ACC000430,96.78,2025-02-26 20:57:59.344721,Regular Transfer,0,1,BLOCK000028,571804,PoolB,2025-01-10 19:16:59.358697,Low,87,96.33,74,1585.63,43,30,12.697605894100043,2,1,104.73.151.12,DeviceC,1,US,Fingerprint_48
28,TX000029,ACC000424,ACC000073,55.73,2025-02-27 13:38:59.344721,Regular Transfer,0,0,BLOCK000029,754112,PoolD,2024-09-21 19:16:59.359776,Medium,57,1070.49,93,4091.63,90,11,7.740945328393524,4,1,196.112.74.56,DeviceC,1,Asia,Fingerprint_423
29,TX000030,ACC000302,ACC000065,13.42,2025-02-26 22:32:59.344721,Smart Contract Interaction,0,0,BLOCK000030,947075,PoolC,2025-01-26 19:16:59.359776,High,258,6958.06,16,8417.2,34,29,3.583703296114028,9,1,84.172.81.167,DeviceB,0,US,Fingerprint_301
30,TX000031,ACC000404,ACC000126,24.29,2025-02-27 04:26:59.344721,Regular Transfer,1,1,BLOCK000031,377950,PoolC,2024-07-26 19:16:59.359776,Low,96,884.29,4,7302.82,52,27,6.275253251144668,1,1,67.20.118.127,DeviceA,0,Africa,Fingerprint_403
31,TX000032,ACC000365,ACC000088,20.34,2025-02-27 13:54:59.344721,Regular Transfer,0,1,BLOCK000032,457915,PoolB,2024-03-22 19:16:59.359776,Medium,265,321.37,100,434.4,90,15,3.831532286000373,6,1,179.15.174.199,DeviceC,1,US,Fingerprint_364
32,TX000033,ACC000269,ACC000331,64.67,2025-02-27 17:26:59.344721,Regular Transfer,0,0,BLOCK000033,949352,PoolB,2024-07-31 19:16:59.359776,Low,220,6800.46,55,7128.91,2,22,9.308281092475207,8,1,180.169.99.158,DeviceD,1,Asia,Fingerprint_268
33,TX000034,ACC000487,ACC000013,92.22,2025-02-27 15:48:59.344721,Smart Contract Interaction,0,1,BLOCK000034,296284,PoolA,2025-01-17 19:16:59.359776,Medium,112,2834.22,45,9962.25,52,47,6.765426160740965,2,0,160.194.240.20,DeviceA,0,EU,Fingerprint_486
34,TX000035,ACC000190,ACC000008,84.71,2025-02-27 07:57:59.344721,Smart Contract Interaction,1,1,BLOCK000035,321321,PoolA,2024-12-30 19:16:59.359776,Low,244,1020.64,7,2949.65,11,2,10.588910772907457,5,0,71.151.97.185,DeviceA,1,US,Fingerprint_189
35,TX000036,ACC000277,ACC000395,9.26,2025-02-27 12:15:59.344721,Regular Transfer,1,1,BLOCK000036,294078,PoolB,2024-05-10 19:16:59.359776,Medium,196,3356.77,78,9547.92,40,14,23.343089328656994,5,0,225.136.73.72,DeviceB,1,US,Fingerprint_276
36,TX000037,ACC000415,ACC000119,72.46,2025-02-27 12:46:59.344721,Regular Transfer,1,0,BLOCK000037,182020,PoolA,2024-08-17 19:16:59.359776,Low,27,1259.36,27,3175.04,74,24,5.079242870102247,5,0,237.81.31.30,DeviceC,0,Asia,Fingerprint_414
37,TX000038,ACC000310,ACC000162,19.06,2025-02-27 05:17:59.344721,Regular Transfer,1,0,BLOCK000038,883317,PoolB,2024-07-10 19:16:59.359776,Medium,233,6268.92,83,4149.16,47,40,2.6809219467911976,4,1,20.0.98.87,DeviceC,0,Oceania,Fingerprint_309
38,TX000039,ACC000431,ACC000088,26.85,2025-02-26 19:28:59.344721,Regular Transfer,0,1,BLOCK000039,733395,PoolD,2025-01-22 19:16:59.359776,Low,135,5846.17,92,4177.4,85,46,19.616604548970997,10,1,99.95.55.156,DeviceD,1,Asia,Fingerprint_430
39,TX000040,ACC000289,ACC000027,67.37,2025-02-27 00:21:59.344721,Regular Transfer,0,0,BLOCK000040,371914,PoolD,2024-08-28 19:16:59.359776,High,54,8651.28,29,8978.5,37,41,9.589910271559871,6,1,222.247.139.168,DeviceA,1,EU,Fingerprint_288
40,TX000041,ACC000353,ACC000371,60.3,2025-02-27 00:49:59.344721,Smart Contract Interaction,1,1,BLOCK000041,806120,PoolD,2024-05-12 19:16:59.359776,Low,316,8787.22,10,2562.17,61,41,21.02278918216179,9,0,66.132.86.149,DeviceA,1,Asia,Fingerprint_352
41,TX000042,ACC000023,ACC000264,87.36,2025-02-27 10:12:59.344721,Regular Transfer,1,0,BLOCK000042,211495,PoolC,2024-08-29 19:16:59.358697,High,185,3187.49,17,8509.13,80,13,7.3318765362489735,8,0,200.81.155.142,DeviceB,0,Asia,Fingerprint_22
42,TX000043,ACC000114,ACC000373,18.82,2025-02-26 20:43:59.344721,Regular Transfer,1,0,BLOCK000043,554871,PoolD,2024-10-05 19:16:59.359776,Medium,239,9935.4,67,1569.15,72,8,5.77783705468836,4,0,253.208.184.221,DeviceA,0,EU,Fingerprint_113
43,TX000044,ACC000145,ACC000239,76.17,2025-02-27 09:39:59.344721,Smart Contract Interaction,1,1,BLOCK000044,660333,PoolC,2024-03-30 19:16:59.359776,Low,110,5217.64,45,830.15,13,3,12.115432104666569,6,0,140.198.24.129,DeviceA,0,EU,Fingerprint_144
44,TX000045,ACC000040,ACC000390,72.43,2025-02-27 09:06:59.344721,Smart Contract Interaction,0,1,BLOCK000045,118785,PoolC,2024-05-06 19:16:59.358697,Low,8,1146.5,64,3666.84,34,3,14.97133670541388,6,1,251.236.136.34,DeviceB,0,Asia,Fingerprint_39
45,TX000046,ACC000117,ACC000257,55.89,2025-02-27 11:09:59.344721,Smart Contract Interaction,1,1,BLOCK000046,106131,PoolA,2024-12-09 19:16:59.359776,Low,274,2263.41,74,2061.23,45,24,11.977492993162869,2,1,21.175.74.174,DeviceA,1,Asia,Fingerprint_116
46,TX000047,ACC000051,ACC000055,47.94,2025-02-27 15:59:59.344721,Smart Contract Interaction,0,0,BLOCK000047,514118,PoolA,2024-11-17 19:16:59.358697,Low,83,7168.03,74,1151.7,99,23,12.886813084292609,8,0,238.75.228.195,DeviceC,1,Africa,Fingerprint_50
47,TX000048,ACC000139,ACC000252,86.95,2025-02-27 17:34:59.344721,Smart Contract Interaction,1,1,BLOCK000048,222346,PoolA,2024-08-19 19:16:59.359776,Medium,20,1480.01,63,3434.4,68,41,23.821466803635566,10,0,129.47.42.125,DeviceB,1,US,Fingerprint_138
48,TX000049,ACC000318,ACC000473,33.3,2025-02-27 05:51:59.344721,Smart Contract Interaction,1,1,BLOCK000049,113950,PoolB,2024-11-29 19:16:59.359776,Low,238,3311.96,15,640.87,22,19,5.178497909756874,9,1,158.167.107.123,DeviceD,1,Africa,Fingerprint_317
49,TX000050,ACC000183,ACC000022,95.7,2025-02-26 23:45:59.344721,Smart Contract Interaction,0,0,BLOCK000050,280077,PoolD,2024-03-10 19:16:59.359776,High,176,2030.21,30,7336.75,79,6,4.950877715678644,8,1,240.249.197.70,DeviceB,0,Asia,Fingerprint_182
50,TX000051,ACC000186,ACC000392,1.54,2025-02-27 00:30:59.344721,Regular Transfer,1,0,BLOCK000051,787657,PoolA,2024-09-28 19:16:59.359776,High,102,4230.94,64,8807.88,91,48,8.490669012101444,1,1,138.147.116.160,DeviceD,1,Oceania,Fingerprint_185
51,TX000052,ACC000105,ACC000434,93.72,2025-02-27 02:30:59.344721,Smart Contract Interaction,0,0,BLOCK000052,600296,PoolA,2024-07-04 19:16:59.359776,High,292,4933.37,62,9101.73,19,33,23.525682278053218,8,0,143.144.245.103,DeviceB,1,Oceania,Fingerprint_104
52,TX000053,ACC000134,ACC000261,96.21,2025-02-27 14:01:59.344721,Regular Transfer,0,0,BLOCK000053,582515,PoolD,2024-09-12 19:16:59.359776,Low,360,6986.65,87,4281.35,96,27,11.180761753619498,4,1,21.251.16.255,DeviceC,0,Oceania,Fingerprint_133
53,TX000054,ACC000469,ACC000230,11.74,2025-02-27 17:24:59.344721,Regular Transfer,1,1,BLOCK000054,825411,PoolB,2025-01-06 19:16:59.359776,Medium,308,216.58,83,9957.87,71,27,8.426158540670635,3,1,202.69.27.92,DeviceD,0,Africa,Fingerprint_468
54,TX000055,ACC000325,ACC000483,99.96,2025-02-27 06:57:59.344721,Regular Transfer,1,0,BLOCK000055,524769,PoolB,2024-07-08 19:16:59.359776,Low,115,8341.72,63,8768.66,27,9,10.233719574056343,10,1,17.186.80.200,DeviceD,0,EU,Fingerprint_324
55,TX000056,ACC000305,ACC000031,47.9,2025-02-27 19:08:59.344721,Regular Transfer,0,0,BLOCK000056,789666,PoolC,2024-12-03 19:16:59.359776,High,342,892.74,36,6903.5,34,2,20.58417675657418,9,0,252.47.77.26,DeviceB,1,US,Fingerprint_304
56,TX000057,ACC000086,ACC000240,24.27,2025-02-27 04:40:59.344721,Regular Transfer,0,1,BLOCK000057,880399,PoolA,2024-04-15 19:16:59.358697,Medium,350,1310.58,56,2385.82,72,46,15.407246658752264,6,0,158.6.110.92,DeviceD,1,Oceania,Fingerprint_85
57,TX000058,ACC000365,ACC000201,60.44,2025-02-27 16:16:59.344721,Smart Contract Interaction,1,0,BLOCK000058,731124,PoolC,2024-03-22 19:16:59.359776,Medium,265,321.37,100,434.4,90,15,3.831532286000373,6,1,179.15.174.199,DeviceC,1,US,Fingerprint_364
58,TX000059,ACC000082,ACC000344,20.46,2025-02-27 09:12:59.344721,Regular Transfer,0,0,BLOCK000059,861173,PoolC,2024-03-10 19:16:59.358697,Low,320,7833.06,14,9119.59,65,33,21.657097475622148,9,1,57.21.198.54,DeviceB,0,EU,Fingerprint_81
59,TX000060,ACC000190,ACC000246,91.51,2025-02-26 20:40:59.344721,Smart Contract Interaction,1,1,BLOCK000060,610365,PoolB,2024-12-30 19:16:59.359776,Low,244,1020.64,7,2949.65,11,2,10.588910772907457,5,0,71.151.97.185,DeviceA,1,US,Fingerprint_189
60,TX000061,ACC000495,ACC000455,55.21,2025-02-26 21:55:59.344721,Smart Contract Interaction,0,1,BLOCK000061,417508,PoolB,2024-12-28 19:16:59.359776,Medium,138,9081.08,10,9933.77,51,42,7.134695093911536,6,1,87.192.21.20,DeviceD,1,Oceania,Fingerprint_494
61,TX000062,ACC000320,ACC000037,77.55,2025-02-26 22:46:59.344721,Regular Transfer,0,1,BLOCK000062,748543,PoolA,2024-05-23 19:16:59.359776,Medium,331,9452.67,9,2267.59,75,48,11.44308284772501,7,0,40.30.60.75,DeviceB,0,EU,Fingerprint_319
62,TX000063,ACC000279,ACC000041,38.07,2025-02-27 02:52:59.344721,Smart Contract Interaction,1,1,BLOCK000063,952631,PoolD,2024-07-02 19:16:59.359776,High,338,3507.81,45,8422.85,83,45,14.883188502460392,2,0,201.112.21.22,DeviceB,1,US,Fingerprint_278
63,TX000064,ACC000343,ACC000305,53.37,2025-02-27 12:27:59.344721,Smart Contract Interaction,1,1,BLOCK000064,746703,PoolA,2024-06-20 19:16:59.359776,Medium,308,4538.58,69,5401.18,34,27,5.343489652714252,4,0,135.153.19.117,DeviceB,1,Africa,Fingerprint_342
64,TX000065,ACC000422,ACC000033,35.93,2025-02-27 15:57:59.344721,Smart Contract Interaction,1,0,BLOCK000065,478251,PoolC,2024-06-22 19:16:59.359776,High,297,2701.75,54,5974.75,39,33,5.825988724275947,3,0,82.245.112.224,DeviceA,0,EU,Fingerprint_421
65,TX000066,ACC000388,ACC000138,26.16,2025-02-27 18:23:59.344721,Smart Contract Interaction,1,0,BLOCK000066,824211,PoolC,2024-05-05 19:16:59.359776,High,322,1833.72,63,7460.49,59,27,5.83753160877897,4,0,20.159.215.47,DeviceC,0,Oceania,Fingerprint_387
66,TX000067,ACC000115,ACC000317,51.29,2025-02-27 12:12:59.344721,Regular Transfer,0,1,BLOCK000067,806533,PoolA,2024-09-10 19:16:59.359776,Low,240,8613.89,24,4992.58,56,32,6.610633712042718,10,1,44.129.70.170,DeviceD,1,US,Fingerprint_114
67,TX000068,ACC000017,ACC000275,49.73,2025-02-27 13:26:59.344721,Smart Contract Interaction,0,1,BLOCK000068,823825,PoolB,2024-04-16 19:16:59.358697,High,268,2058.32,92,2356.73,37,26,18.41055328384034,6,1,214.12.71.162,DeviceD,1,Asia,Fingerprint_16
68,TX000069,ACC000158,ACC000163,9.87,2025-02-26 21:28:59.344721,Regular Transfer,0,1,BLOCK000069,807896,PoolD,2024-09-14 19:16:59.359776,Medium,12,6471.34,16,5142.8,6,32,21.54744562067204,9,0,34.33.44.134,DeviceB,0,Oceania,Fingerprint_157
69,TX000070,ACC000134,ACC000498,98.13,2025-02-27 09:18:59.344721,Regular Transfer,0,1,BLOCK000070,514184,PoolD,2024-09-12 19:16:59.359776,Low,360,6986.65,87,4281.35,96,27,11.180761753619498,4,1,21.251.16.255,DeviceC,0,Oceania,Fingerprint_133
70,TX000071,ACC000106,ACC000266,46.95,2025-02-27 16:28:59.344721,Regular Transfer,0,0,BLOCK000071,943726,PoolC,2024-12-26 19:16:59.359776,High,205,6410.97,56,6773.64,56,40,7.11255679797709,6,1,136.12.139.96,DeviceA,0,US,Fingerprint_105
71,TX000072,ACC000472,ACC000227,83.97,2025-02-27 03:06:59.344721,Smart Contract Interaction,1,1,BLOCK000072,417358,PoolB,2024-06-28 19:16:59.359776,Low,82,2406.82,1,2783.97,90,35,16.37393486108818,6,1,47.132.133.170,DeviceA,1,US,Fingerprint_471
72,TX000073,ACC000439,ACC000303,91.43,2025-02-27 15:19:59.344721,Smart Contract Interaction,0,1,BLOCK000073,191892,PoolD,2024-03-25 19:16:59.359776,Low,52,8950.52,72,2171.32,59,37,9.583234793741699,10,1,104.239.211.37,DeviceB,1,Asia,Fingerprint_438
73,TX000074,ACC000158,ACC000050,37.08,2025-02-27 08:44:59.344721,Regular Transfer,1,1,BLOCK000074,231165,PoolD,2024-09-14 19:16:59.359776,Medium,12,6471.34,16,5142.8,6,32,21.54744562067204,9,0,34.33.44.134,DeviceB,0,Oceania,Fingerprint_157
74,TX000075,ACC000328,ACC000351,41.4,2025-02-27 05:41:59.344721,Smart Contract Interaction,0,1,BLOCK000075,241677,PoolB,2024-11-22 19:16:59.359776,Low,138,5666.62,45,1192.12,45,8,9.968792419389247,6,0,254.237.203.165,DeviceA,0,Africa,Fingerprint_327
75,TX000076,ACC000198,ACC000427,56.26,2025-02-27 03:11:59.344721,Smart Contract Interaction,0,0,BLOCK000076,114549,PoolB,2024-11-20 19:16:59.359776,Low,293,5308.85,3,2393.58,41,28,17.714321644160687,2,1,130.253.232.141,DeviceC,1,EU,Fingerprint_197
76,TX000077,ACC000458,ACC000326,22.14,2025-02-27 02:34:59.344721,Regular Transfer,1,0,BLOCK000077,300070,PoolA,2024-06-14 19:16:59.359776,Low,92,2999.24,43,8710.52,20,5,23.280799224532064,6,0,193.3.87.191,DeviceC,1,US,Fingerprint_457
77,TX000078,ACC000230,ACC000385,14.6,2025-02-26 20:42:59.344721,Regular Transfer,0,1,BLOCK000078,217348,PoolA,2024-07-18 19:16:59.359776,Medium,50,4045.59,70,7468.35,11,18,14.63762613987215,1,0,223.130.178.117,DeviceC,0,Asia,Fingerprint_229
78,TX000079,ACC000133,ACC000361,26.08,2025-02-27 10:13:59.344721,Regular Transfer,0,0,BLOCK000079,955604,PoolC,2024-04-21 19:16:59.359776,Low,109,3795.56,23,3942.33,23,23,17.559573429747687,2,1,106.155.219.244,DeviceD,0,US,Fingerprint_132
79,TX000080,ACC000124,ACC000108,93.48,2025-02-27 16:09:59.344721,Regular Transfer,0,0,BLOCK000080,116656,PoolA,2024-05-04 19:16:59.359776,Low,222,6882.41,17,4751.62,45,22,11.163655630632359,4,1,115.232.79.96,DeviceC,0,US,Fingerprint_123
80,TX000081,ACC000281,ACC000226,57.92,2025-02-26 21:21:59.344721,Regular Transfer,1,1,BLOCK000081,829842,PoolD,2024-05-24 19:16:59.359776,High,349,6634.09,43,6712.96,96,44,4.22620852843955,6,0,214.99.213.77,DeviceB,1,Oceania,Fingerprint_280
81,TX000082,ACC000132,ACC000115,41.76,2025-02-27 00:41:59.344721,Smart Contract Interaction,0,0,BLOCK000082,297364,PoolA,2024-09-06 19:16:59.359776,Low,249,7916.28,43,5340.17,48,19,21.81474334422536,6,0,153.175.198.191,DeviceD,1,EU,Fingerprint_131
82,TX000083,ACC000293,ACC000170,15.25,2025-02-27 06:02:59.344721,Regular Transfer,0,1,BLOCK000083,128117,PoolC,2024-04-29 19:16:59.359776,Medium,316,5193.09,68,2549.22,73,6,21.080860364142058,3,1,78.50.185.211,DeviceA,0,Asia,Fingerprint_292
83,TX000084,ACC000449,ACC000227,32.99,2025-02-27 12:57:59.344721,Smart Contract Interaction,1,0,BLOCK000084,319393,PoolC,2024-11-23 19:16:59.359776,Low,215,1530.22,1,7357.39,40,33,13.407923211692614,3,0,0.218.178.182,DeviceD,1,Oceania,Fingerprint_448
84,TX000085,ACC000200,ACC000208,37.99,2025-02-27 06:36:59.344721,Regular Transfer,1,0,BLOCK000085,604487,PoolB,2024-05-19 19:16:59.359776,Low,6,1183.26,43,1050.16,70,13,8.252972873622781,4,0,218.250.55.243,DeviceD,0,Oceania,Fingerprint_199
85,TX000086,ACC000110,ACC000048,83.34,2025-02-27 06:14:59.344721,Smart Contract Interaction,1,0,BLOCK000086,780130,PoolB,2024-07-27 19:16:59.359776,Medium,237,1027.44,25,3481.56,89,4,22.101737197223194,2,1,233.241.83.191,DeviceA,1,Oceania,Fingerprint_109
86,TX000087,ACC000499,ACC000214,49.94,2025-02-27 06:39:59.344721,Regular Transfer,1,1,BLOCK000087,252205,PoolC,2024-05-01 19:16:59.359776,Medium,48,4583.5,40,1029.09,63,7,4.340082983117377,9,0,31.137.24.62,DeviceD,0,Africa,Fingerprint_498
87,TX000088,ACC000255,ACC000333,65.46,2025-02-27 12:53:59.344721,Smart Contract Interaction,1,0,BLOCK000088,781301,PoolB,2024-05-24 19:16:59.359776,Low,256,4279.23,77,2037.22,60,46,13.922236852527549,5,0,18.105.37.188,DeviceB,0,US,Fingerprint_254
88,TX000089,ACC000046,ACC000188,68.49,2025-02-27 04:03:59.344721,Regular Transfer,1,0,BLOCK000089,353524,PoolA,2024-12-09 19:16:59.358697,Low,49,3716.6,89,408.46,83,44,4.412357363383471,1,0,96.61.151.31,DeviceD,0,US,Fingerprint_45
89,TX000090,ACC000024,ACC000077,25.74,2025-02-27 17:44:59.344721,Regular Transfer,0,1,BLOCK000090,556957,PoolD,2024-07-26 19:16:59.358697,High,320,1075.59,35,5450.37,99,3,1.8221267872335236,10,0,116.97.249.255,DeviceA,1,US,Fingerprint_23
90,TX000091,ACC000055,ACC000462,82.16,2025-02-27 10:16:59.344721,Regular Transfer,0,0,BLOCK000091,982995,PoolA,2024-03-26 19:16:59.358697,High,187,2326.49,5,7446.23,95,42,15.808584955224152,5,1,165.8.63.26,DeviceD,1,Oceania,Fingerprint_54
91,TX000092,ACC000314,ACC000034,96.65,2025-02-27 04:15:59.344721,Regular Transfer,0,0,BLOCK000092,756470,PoolB,2024-11-07 19:16:59.359776,Medium,101,8760.93,77,4171.17,67,27,21.4551830608579,7,0,49.254.114.145,DeviceD,1,Africa,Fingerprint_313
92,TX000093,ACC000397,ACC000416,64.17,2025-02-27 03:23:59.344721,Smart Contract Interaction,0,0,BLOCK000093,999876,PoolB,2024-05-12 19:16:59.359776,Medium,196,3541.94,23,4122.67,33,40,23.1160814070876,10,0,252.121.30.220,DeviceD,0,US,Fingerprint_396
